transaction_date,account,posting,amount
2020-02-24,12,TRUE,20571.89
2019-06-14,6,TRUE,17269.98
2020-10-11,8,TRUE,24292.59
2020-06-14,13,TRUE,2601.68
2019-04-01,12,TRUE,24233.76
2019-12-04,3,TRUE,17706.36
2020-05-18,5,TRUE,8501.19
2020-06-09,4,FALSE,-2664.01
2019-09-07,9,TRUE,16891.5
2019-02-28,13,TRUE,164.93
2019-06-18,13,TRUE,3377.73
2019-06-17,4,TRUE,1.12
2019-03-23,14,TRUE,1700.76
2019-03-01,15,TRUE,329.43
2019-07-05,9,TRUE,92468.17
2020-02-17,2,TRUE,22691.44
2020-08-19,11,TRUE,24344.35
2020-04-27,15,TRUE,2477.78
2019-02-28,8,TRUE,32014.64
2020-06-23,15,TRUE,8554.75
2020-09-28,12,TRUE,16926.18
2020-03-16,13,TRUE,-2956.96
2020-01-01,4,TRUE,-1493.28
2019-05-21,11,TRUE,6819.68
2020-04-03,11,TRUE,6873.06
2020-03-03,2,TRUE,34891.52
2020-04-21,14,TRUE,-4660.85
2020-07-03,15,TRUE,14280.64
2019-03-18,14,TRUE,1247.23
2019-06-07,11,TRUE,26413.84
2019-03-13,4,TRUE,-2486.09
2019-09-15,13,TRUE,-4363.95
2020-02-13,3,TRUE,29311.88
2020-07-19,14,TRUE,913.44
2020-01-22,1,TRUE,268597.96
2019-11-21,4,TRUE,-5220.64
2020-05-01,8,TRUE,29246.49
2019-02-07,10,TRUE,8966.09
2019-02-13,9,TRUE,90671.3
2020-09-10,11,TRUE,8787.61
2019-06-07,6,TRUE,13127.04
2019-12-25,14,TRUE,3706.33
2019-05-18,3,TRUE,7844.57
2019-07-21,7,TRUE,32468.84
2020-02-19,3,TRUE,24329.51
2020-06-14,15,TRUE,12832.13
2019-10-25,15,FALSE,5123.61
2020-02-14,11,TRUE,2833.63
2020-05-12,11,TRUE,4337.23
2019-01-20,1,TRUE,14276.78
2019-01-05,11,TRUE,46026.8
2020-03-21,6,TRUE,55144.79
2020-05-07,13,TRUE,4607.51
2019-09-01,9,TRUE,28077.43
2020-05-15,15,TRUE,17056.3
2019-12-20,12,TRUE,19519.66
2019-09-26,11,TRUE,8547.49
2019-10-27,8,TRUE,18388.39
2020-04-19,11,TRUE,8292.2
2019-02-26,15,TRUE,225.6
2020-07-22,3,TRUE,32062.51
2019-07-02,13,TRUE,8708.78
2020-05-26,7,TRUE,11375.5
2019-07-06,5,TRUE,12465.06
2019-11-29,6,FALSE,17465.57
2019-05-14,14,TRUE,-906.18
2019-08-06,1,TRUE,37709.04
2020-06-29,1,TRUE,49490.07
2020-01-23,8,TRUE,43349.5
2019-01-11,2,TRUE,5903.94
2020-02-24,14,TRUE,2718.35
2019-10-17,6,TRUE,20676.33
2019-11-18,7,TRUE,14309.38
2019-01-23,10,TRUE,13637.53
2020-01-12,10,TRUE,50848.9
2020-01-12,3,TRUE,23210.66
2019-06-26,13,TRUE,5226.45
2020-10-12,5,TRUE,8346.16
2020-04-17,4,TRUE,-1522.01
2019-01-22,13,TRUE,581.41
2020-02-25,1,TRUE,37696.26
2020-08-24,10,TRUE,19660.8
2019-10-24,10,TRUE,24304.06
2019-08-01,11,TRUE,14108.19
2020-08-24,7,TRUE,30980.83
2019-10-17,1,TRUE,59694.18
2020-10-29,13,TRUE,-3068.55
2020-04-07,5,TRUE,6725.36
2019-04-26,14,TRUE,5969.39
2020-08-06,8,TRUE,16862.65
2020-02-04,6,TRUE,38083.09
2020-01-17,2,TRUE,29961.59
2019-03-09,12,TRUE,15473.02
2019-03-16,7,TRUE,4822.28
2020-08-19,14,TRUE,1662.57
2019-05-24,11,TRUE,5210.71
2019-09-06,10,FALSE,14402.68
2019-08-11,5,TRUE,5266.72
2020-10-22,3,TRUE,18693.79
2020-04-13,11,TRUE,12076.56
2020-01-28,9,TRUE,26391.6
2020-01-27,4,TRUE,-2132.19
2020-06-04,12,TRUE,25029.57
2020-09-15,1,TRUE,37476.95
2020-02-22,2,TRUE,36546.31
2020-04-23,5,TRUE,5444.34
2019-03-01,7,TRUE,6796.46
2020-10-08,15,FALSE,2923.33
2020-10-17,12,TRUE,25254.02
2019-03-08,7,TRUE,4822.28
2019-12-01,4,TRUE,1822.94
2019-09-09,11,TRUE,15623.43
2019-09-23,6,TRUE,14075.51
2019-01-04,15,TRUE,11004.21
2019-11-09,12,TRUE,15901.47
2019-05-27,14,TRUE,-1798.96
2020-08-09,8,TRUE,21725.66
2019-08-02,5,TRUE,7175.17
2020-01-21,4,TRUE,-3439.74
2019-01-05,7,TRUE,7219.53
2019-04-11,15,TRUE,3574.23
2020-04-01,15,TRUE,2458.27
2020-05-21,9,TRUE,44943.36
2020-06-07,14,TRUE,545.14
2019-10-18,4,TRUE,-812.17
2019-02-12,2,TRUE,8614.04
2019-01-01,13,TRUE,420.52
2020-04-01,15,TRUE,4048.34
2020-01-12,4,TRUE,-2919.69
2019-06-15,4,TRUE,0.9
2020-03-23,9,TRUE,18558.09
2019-05-23,14,TRUE,-1209.72
2020-01-04,12,TRUE,10240.78
2020-10-25,13,TRUE,-3035.67
2019-03-20,12,TRUE,22021.02
2019-12-15,3,TRUE,8794.29
2019-12-07,11,TRUE,8963.21
2019-05-04,6,TRUE,13366.75
2019-04-20,7,TRUE,41518.07
2019-03-17,1,TRUE,19595.98
2019-09-15,7,TRUE,16393.16
2019-09-25,5,TRUE,7353.96
2019-10-15,10,FALSE,17444.92
2019-12-16,14,TRUE,2901.26
2019-11-21,7,TRUE,16620.52
2019-02-09,4,TRUE,2745.42
2020-06-03,2,TRUE,36716.95
2020-01-19,6,TRUE,21623.14
2019-04-01,14,TRUE,5025.51
2019-12-22,12,TRUE,16840.49
2019-01-21,13,TRUE,850.18
2020-10-09,1,TRUE,60737.46
2019-06-17,15,TRUE,6516.59
2020-06-27,13,TRUE,1540.63
2020-01-09,15,TRUE,18241.8
2020-06-27,8,TRUE,50076.28
2020-10-18,1,TRUE,62703.07
2019-12-11,12,TRUE,10759.2
2019-08-20,13,TRUE,13192.37
2020-05-25,5,TRUE,11355.16
2019-09-26,1,TRUE,26083.23
2019-09-29,1,TRUE,27946.32
2019-11-01,10,TRUE,26894.02
2019-02-13,2,TRUE,8544.0
2019-10-22,9,TRUE,42293.31
2020-03-05,10,TRUE,18901.35
2020-04-09,3,TRUE,17948.97
2020-09-18,6,TRUE,90802.55
2020-02-01,13,TRUE,13686.2
2020-01-25,13,TRUE,-1388.0
2019-02-03,9,TRUE,64207.43
2019-09-10,14,TRUE,7533.62
2020-10-19,1,TRUE,62703.07
2020-05-25,3,TRUE,18218.62
2019-06-13,2,TRUE,17145.75
2020-08-23,12,TRUE,79921.02
2019-07-22,11,TRUE,5103.5
2019-12-11,7,TRUE,24413.58
2019-03-23,1,TRUE,22549.45
2019-05-28,12,TRUE,60091.87
2020-03-14,11,TRUE,3423.43
2019-05-14,11,TRUE,4088.86
2020-02-18,12,TRUE,10333.35
2020-05-27,12,TRUE,13365.27
2020-01-25,6,TRUE,21029.1
2019-07-05,1,TRUE,46598.57
2019-06-19,9,TRUE,78198.66
2020-04-01,15,TRUE,4282.46
2019-12-01,14,TRUE,2346.83
2019-02-27,2,TRUE,6116.2
2019-03-04,6,TRUE,12432.81
2020-08-19,9,TRUE,32548.64
2020-06-07,7,TRUE,18857.21
2019-12-16,15,TRUE,9465.41
